,Loss_G,Loss_D,Loss_D_0
0,0.02371907,6.9634247,0.0008906624
1,-0.15305866,5.2869453,-0.010114827
2,-0.4786522,3.869499,-0.086869955
3,-0.91963786,2.5453267,-0.23207636
4,-1.3715671,1.7480432,-0.4807748
5,-1.7556051,1.2558973,-0.8990037
6,-2.013046,0.84500545,-1.3991936
7,-2.181943,0.3000104,-2.0320609
8,-2.274995,-0.33225152,-2.694439
9,-2.4061327,-0.85790634,-3.3323002
10,-2.3987353,-1.3596843,-3.8324478
11,-2.237276,-1.6606431,-4.003613
12,-1.9053744,-2.0085738,-4.044248
13,-1.4343518,-2.3429565,-3.9108686
14,-0.951448,-2.5299585,-3.6509972
15,-0.5209976,-2.6204584,-3.36796
16,-0.25132254,-2.645797,-3.1205997
17,-0.23058467,-2.4845161,-2.9788253
18,-0.16010343,-2.521936,-2.92582
19,-0.3481554,-2.374232,-2.9305155
20,-0.5064137,-2.1833315,-2.9158375
21,-0.657938,-2.1044943,-2.9669755
22,-0.8602168,-1.9448156,-2.9995499
23,-0.9547348,-1.9546608,-3.0833118
24,-1.2079158,-1.803497,-3.1632445
25,-1.354309,-1.8087584,-3.2974675
26,-1.5685331,-1.6855707,-3.4058867
27,-1.7953373,-1.6056567,-3.5463483
28,-1.8738974,-1.6072297,-3.6276934
29,-1.9042435,-1.6481978,-3.6915483
30,-1.9559759,-1.5408036,-3.6422513
31,-2.085621,-1.526074,-3.735444
32,-2.0513499,-1.440941,-3.6374748
33,-2.1579726,-1.3493663,-3.6543958
34,-2.1653812,-1.4258353,-3.7189782
35,-2.385577,-1.3814659,-3.9087226
36,-2.4190743,-1.3200465,-3.855336
37,-2.5165992,-1.3023535,-3.9218328
38,-2.604543,-1.3479924,-4.08123
39,-2.810045,-1.1331366,-4.073767
40,-2.9079025,-1.2014635,-4.237808
41,-2.9707632,-1.1438559,-4.2315793
42,-3.1099637,-1.1110104,-4.317265
43,-3.1199386,-1.2276057,-4.4392715
44,-3.2779732,-1.0701603,-4.4567966
45,-3.3259947,-0.9794994,-4.419165
46,-3.5805218,-0.8620803,-4.559497
47,-3.642389,-0.9608448,-4.700689
48,-3.6317394,-0.9366916,-4.67623
49,-3.826032,-0.93345803,-4.8585773
50,-3.801854,-0.89410156,-4.8010197
51,-3.9279392,-0.7688267,-4.8041105
52,-3.8597362,-0.91739273,-4.866569
53,-3.9355671,-0.80882055,-4.8374453
54,-4.2786036,-0.7171614,-5.1049695
55,-4.3426886,-0.68174475,-5.1217427
56,-4.208367,-0.7520399,-5.050648
57,-4.2414093,-0.5721021,-4.9008365
58,-4.2855477,-0.7018881,-5.08172
59,-4.369991,-0.57086533,-5.03685
60,-4.421687,-0.5170174,-5.031037
61,-4.4535685,-0.502517,-5.0610795
62,-4.3922915,-0.43923664,-4.9253335
63,-4.468717,-0.46738884,-5.0203686
64,-4.362497,-0.45181167,-4.9167714
65,-4.1502347,-0.41121507,-4.663219
66,-4.2474704,-0.35076985,-4.6859164
67,-4.29946,-0.44098926,-4.827513
68,-4.2490525,-0.38816786,-4.720615
69,-4.1194787,-0.38677815,-4.5957246
70,-4.0330215,-0.3783493,-4.5107827
71,-4.0893126,-0.21528226,-4.4047446
72,-4.2113967,-0.21897028,-4.526507
73,-4.0303736,-0.2901757,-4.4197364
74,-4.070908,-0.12232226,-4.2874217
75,-3.9659913,-0.27233693,-4.3443403
76,-3.90458,-0.24076654,-4.2622256
77,-4.0727572,-0.15431225,-4.3193245
78,-3.9683678,-0.12175856,-4.2013083
79,-3.8862286,-0.1726532,-4.176359
80,-4.0797157,-0.06391506,-4.2307143
81,-4.038168,-0.07618589,-4.235104
82,-4.060238,-0.089703046,-4.2556977
83,-4.260115,-0.15077384,-4.511311
84,-4.3165855,0.0014570603,-4.415292
85,-4.2459664,-0.039220452,-4.401857
86,-4.002851,-0.003071549,-4.1256824
87,-3.9767067,-0.091572665,-4.192759
88,-4.0158,-0.1640311,-4.306395
89,-4.2010627,0.041198563,-4.265001
90,-4.3861265,0.09695388,-4.4129
91,-4.412947,0.11133055,-4.4175105
92,-4.4343567,0.071735896,-4.478865
93,-4.389175,0.18254222,-4.313542
94,-4.0159583,0.19495459,-3.93621
95,-3.478712,0.17568862,-3.4266093
96,-3.9588172,0.16928746,-3.922923
97,-4.3089056,0.17386587,-4.2363048
98,-4.166305,0.25566834,-4.041545
99,-4.019345,0.14873426,-4.019236
100,-4.1563735,0.2733535,-4.0278087
101,-4.163394,0.18949153,-4.111528
102,-4.5624003,0.247052,-4.453653
103,-4.242422,0.18504286,-4.2036476
104,-4.103184,0.20816796,-4.059132
105,-2.7019596,0.22144286,-2.6622818
106,-2.0542526,0.1439594,-2.0938127
107,-2.7923355,0.01820905,-2.978795
108,-3.2015533,0.09201152,-3.2865007
109,-2.6057928,0.088457845,-2.7253263
110,-2.1316595,0.08920736,-2.2425528
111,-1.7362895,-0.12056118,-2.091769
112,-2.3928044,-0.06560586,-2.6439133
113,-3.4365902,-0.20740668,-3.9261081
114,-3.4575093,-0.38746473,-4.042604
115,-2.5879443,-0.16977721,-2.9589663
116,-2.1240628,-0.3292574,-2.6152477
117,-1.4911987,-0.4350921,-2.129227
118,-0.6685254,-0.57965195,-1.5032457
119,-0.14348078,-0.69164544,-1.0506803
120,0.25335985,-0.9109536,-0.845834
121,0.30743673,-0.683639,-0.56788856
122,0.5660782,-0.5436323,-0.14929684
123,0.5757655,-0.80050606,-0.42106882
124,0.40147853,-0.7920943,-0.54985636
125,0.370941,-0.9890303,-0.81250185
126,-0.19804788,-0.82667565,-1.2180105
