,Loss_G,Loss_D
0,0.83995444,1.4397215
1,0.98008496,1.1199542
2,0.83434796,1.1982541
3,0.8154424,1.1569059
4,0.70346206,1.3302621
5,0.72588515,1.4189966
6,0.7094288,1.5180589
7,0.7430675,1.5573336
8,0.82697976,1.5267754
9,0.8462512,1.457162
10,1.0481417,1.2824292
11,0.90411025,1.2927915
12,0.839053,1.3621275
13,0.82410526,1.3313458
14,0.89097226,1.2671005
15,0.82436824,1.3348004
16,0.9575601,1.2265519
17,0.8349516,1.3462055
18,0.84500784,1.2767397
19,0.8754132,1.217758
20,0.792113,1.3016031
21,0.787211,1.3108655
22,0.78712994,1.2768458
23,0.87446254,1.2357051
24,0.8468419,1.2324753
25,0.8167266,1.2804941
26,0.8888624,1.1909525
27,0.8935611,1.1978126
28,0.7817872,1.2800153
29,0.8439386,1.2521346
30,0.85179687,1.2414235
31,0.907517,1.1808696
32,0.86525905,1.2311378
33,0.9250018,1.2012284
34,0.880888,1.2221224
35,0.86207557,1.2085514
36,0.9319282,1.1611195
37,0.91852975,1.1404299
38,0.90648735,1.1483617
39,0.92799026,1.1307292
40,0.89584374,1.1484833
41,0.8952141,1.1816496
42,0.9114535,1.161201
43,0.9361656,1.1235297
44,0.89485765,1.1255568
45,0.89393425,1.1649195
46,0.861321,1.1688384
47,0.95588577,1.1472787
48,0.9344684,1.0994703
49,0.9468708,1.1160257
50,0.90356606,1.1654135
51,0.99342346,1.08666
52,1.0746408,1.0595133
53,1.1886983,0.9163386
54,1.0667785,0.9985545
55,1.0006211,1.0743828
56,1.0276217,1.0745456
57,0.9570516,1.1287531
58,1.0681133,0.9982467
59,0.9515264,1.0527556
60,0.98849845,1.0715338
61,0.89032143,1.1486187
62,1.002176,1.0952471
63,1.0621053,1.0165223
64,1.0449718,1.0637219
65,1.0008022,1.0687793
66,0.92046094,1.150975
67,1.0899619,1.0226176
68,1.0330039,1.0700524
69,0.97887504,1.0735221
70,1.0376208,1.0636461
71,0.9745171,1.098508
72,1.0165472,1.0611448
73,0.96013874,1.1511419
74,0.98366517,1.0370467
75,1.049077,1.0130544
76,1.0859839,0.96419555
77,0.9834104,1.0509015
78,0.9273754,1.1003785
79,0.96830684,1.0970024
80,0.94588673,1.0942484
81,0.9403745,1.0951287
82,0.97776455,1.1309003
83,0.9496815,1.1528357
84,0.9913571,1.1263489
85,0.95681083,1.1906773
86,1.0285017,1.0734783
87,1.0316273,1.0830064
88,1.0467924,1.0272436
89,0.9125689,1.1190307
90,0.89438885,1.2073044
91,0.959912,1.0980026
92,0.9696233,1.0917193
93,0.89260894,1.1754
94,1.0203027,1.0530543
95,0.99243003,1.1511194
96,0.94427025,1.1469978
97,1.0243975,1.0887567
98,0.8969894,1.1959897
99,0.97671914,1.1567212
100,0.9580772,1.1380244
101,0.89131504,1.1371
102,0.9282272,1.1467962
103,0.90605557,1.1695411
104,0.91905147,1.159894
105,0.9001057,1.1368289
106,0.88811743,1.1748184
107,1.0582962,0.99692184
108,0.90998435,1.1486098
109,1.0006571,1.104835
110,0.945223,1.0860778
111,0.8571457,1.2193458
112,0.93472314,1.1474919
113,0.8992585,1.155187
114,0.87406754,1.1891041
115,0.902941,1.1509016
116,0.9503877,1.1033185
117,0.9651465,1.0678781
118,0.86810845,1.1932144
119,0.928436,1.1339458
120,0.9997175,1.1009591
121,0.95709485,1.114091
122,0.85555226,1.1723287
123,0.9755211,1.113723
124,0.933645,1.099681
125,0.98092186,1.0943198
126,0.92438644,1.1258321
127,1.0073333,1.0847887
128,0.9508012,1.0771492
129,0.95193505,1.054498
130,0.98006314,1.0861472
131,0.9116624,1.0950564
132,0.89186275,1.1150336
133,0.99151695,1.0947078
134,0.8923006,1.0978669
135,0.97591656,1.0684357
136,0.95003796,1.0806336
137,0.9682348,1.101219
138,0.91040015,1.129454
139,0.9723911,1.0672306
140,0.93858856,1.1103332
141,0.948973,1.0846367
142,0.93002194,1.0871191
143,0.98389053,1.0606371
144,0.9674708,1.0393114
145,1.0298406,0.99153274
146,0.9546514,1.0570844
147,1.0282931,0.98308265
148,0.9414872,1.0857582
149,0.99860215,1.0523968
150,0.95201135,1.0427518
151,0.9690291,1.0416284
152,0.97538114,1.0343336
153,0.99193954,1.0485536
154,0.9977151,1.0446444
155,0.98640823,1.0473369
156,0.99258465,1.0385166
157,1.0504107,0.9837517
158,1.0134479,1.0103519
159,1.0278808,1.0284213
160,0.93239,1.0502325
161,1.005813,1.0349699
162,0.96701634,1.0383104
163,1.0209041,1.0355994
164,0.9736073,1.0275296
165,1.016808,0.9753368
166,1.0152898,1.0424945
167,0.9850592,1.0267286
168,1.0403317,1.0054222
169,1.0311055,1.0128288
170,1.075639,0.97856003
171,1.0619203,0.9512629
172,1.0545297,1.0088941
173,1.0508388,0.97881156
174,1.0597569,0.9782163
175,1.0340182,0.98457664
176,1.1054478,0.94042695
177,1.0267518,0.96002936
178,1.0627548,0.96322876
179,1.0530214,0.96003205
180,1.0387051,0.9891951
181,1.0396504,0.98462635
182,1.0877589,0.9493783
183,1.0420326,0.9879003
184,1.0809761,0.9669079
185,1.0844319,0.95624435
186,1.115783,0.9631214
187,1.0451329,0.95873505
188,1.087144,0.967942
189,1.0473814,0.9696405
190,1.061057,0.9678936
191,1.0769717,0.946976
192,1.096503,0.93776786
193,1.0509336,0.9293184
194,1.140964,0.93653786
195,1.0614522,0.92531323
196,1.1240897,0.94348633
197,1.1241469,0.9418887
198,1.07558,0.98381644
199,1.1757381,0.8909943
200,1.1532419,0.91613126
201,1.137784,0.9011564
202,1.0659006,0.9441592
203,1.1913046,0.8587402
204,1.1078,0.8867461
205,1.1843885,0.86272526
206,1.1245706,0.9044248
207,1.1738799,0.8887552
208,1.1560286,0.87426907
209,1.2265494,0.8873324
210,1.1549773,0.8937081
211,1.1842605,0.8935231
212,1.1744714,0.86174935
213,1.2479463,0.8094039
214,1.2237713,0.83630663
215,1.1637902,0.86918664
216,1.2056032,0.85368305
217,1.1967672,0.84133345
218,1.2168155,0.8403208
219,1.2247691,0.8374246
220,1.2118206,0.8225264
221,1.2058161,0.833303
222,1.2259542,0.8378413
223,1.2083298,0.83625084
224,1.2372192,0.8248542
225,1.2272127,0.81135267
226,1.2644883,0.8323842
227,1.2640297,0.8083969
228,1.2637099,0.7807927
229,1.2685978,0.8116896
230,1.2460109,0.82158434
231,1.221652,0.8029432
232,1.2909406,0.7840755
233,1.2900943,0.77825576
234,1.2247143,0.79357874
235,1.2506318,0.83188456
236,1.2585785,0.7801068
237,1.2152545,0.8178534
238,1.2818503,0.7859846
239,1.2424349,0.82190675
240,1.3357921,0.7713559
241,1.2565948,0.7783468
242,1.3018146,0.8059695
243,1.3027053,0.77188027
244,1.2777954,0.8035805
245,1.2627076,0.78464407
246,1.3191947,0.76204777
247,1.3131706,0.7535643
248,1.2546971,0.7808383
249,1.3491806,0.750524
