,Loss_G,Loss_D
0,-0.06947841,-0.5197485
1,0.102347076,-1.3666542
2,-0.1856176,-1.1676282
3,-0.6120586,-0.9046334
4,-1.112284,-0.42275703
5,-1.4232862,0.10632998
6,-1.5669675,0.43677413
7,-1.2045196,0.47927073
8,-0.74144024,0.35888427
9,-0.23504528,0.20857665
10,0.2735776,0.118535236
11,0.47920316,0.22615606
12,0.4752022,0.07543737
13,0.53346384,-0.04467357
14,0.21034957,0.132372
15,0.22522083,-0.00081243366
16,0.43606034,-0.14812815
17,0.43627208,-0.04156703
18,0.2272701,0.054532766
19,0.11257941,0.0975395
20,0.5369522,-0.118290946
21,0.66167104,-0.016371382
22,0.49160987,0.33575618
23,0.7971482,-0.10162327
24,0.97534764,-0.31509167
25,0.68339145,0.08023496
26,0.91807884,-0.18689428
27,0.90057695,-0.22323945
28,0.6117154,0.06067902
29,0.7567909,-0.049228404
30,1.1213346,-0.33402833
31,0.90809196,-0.031614788
32,0.8981405,-0.0563709
33,1.0282564,-0.16279954
34,1.0043359,-0.4163772
35,0.9644704,-0.014955714
36,1.1642573,-0.16323069
37,1.1772852,-0.14870837
38,0.91042596,-0.159831
39,1.0311313,-0.17177236
40,1.1386459,-0.322708
41,0.879715,-0.1526625
42,1.0386758,0.028764714
43,1.2820983,-0.2894527
44,1.2164634,-0.2448323
45,1.0751005,-0.22945458
46,1.1697009,-0.15371114
47,1.197322,-0.13126822
48,1.4818903,-0.39268887
49,1.5243943,-0.42589155
50,1.2689892,-0.22948976
51,1.2875955,-0.11777322
52,1.3832974,-0.3256306
53,1.3953838,-0.3434202
54,1.3390768,-0.24598119
55,1.3920648,-0.2081647
56,1.4444971,-0.345365
57,1.5060072,-0.27460292
58,1.4192014,-0.22487965
59,1.5108901,-0.32968283
60,1.5586498,-0.31482008
61,1.7413716,-0.31984606
62,1.7782606,-0.3661273
63,1.7598865,-0.40567976
64,1.6961474,-0.30779994
65,1.8000041,-0.22897129
66,1.7372788,-0.29672897
67,1.6793625,-0.20753533
68,1.7054688,-0.25065178
69,1.733911,-0.22293787
70,1.7074828,-0.24148983
71,1.6794877,-0.25043446
72,1.682112,-0.3230217
73,1.8260143,-0.17534366
74,1.8942877,-0.30601776
75,1.8840909,-0.32224366
76,1.9355567,-0.1389082
77,1.9908862,-0.4030781
78,1.9916762,-0.22141296
79,1.8415918,-0.11198804
80,1.7991447,-0.22921291
81,2.0073392,-0.39248624
82,1.7878457,-0.22156963
83,1.8545964,-0.18149006
84,2.247552,-0.40914682
85,2.1105509,-0.17422825
86,2.1343358,-0.21514645
87,2.1310163,-0.30606735
88,2.0948591,-0.16517335
89,2.2461433,-0.18617913
90,2.1018045,-0.14243329
91,2.3413322,-0.30384862
92,2.1228485,-0.19229752
93,2.2251365,-0.2219149
94,2.175908,-0.12749603
95,2.0843487,-0.109363586
96,2.214121,-0.26930952
97,2.3737128,-0.29545322
98,2.3418221,-0.35739982
99,2.2757876,-0.21685675
100,2.2168589,-0.07788678
101,2.0550785,-0.25630742
102,2.0712442,-0.16109611
103,2.1213841,-0.100852236
104,2.110805,-0.21311876
105,2.0221653,-0.12275612
106,2.4191236,-0.24034502
107,2.1956544,-0.038585447
108,1.9134679,-0.034559622
109,2.309316,-0.06316023
110,2.3330522,-0.10550799
111,2.0891683,0.059897482
112,1.9192699,-0.050441045
113,1.9868908,-0.097188435
114,2.0118144,-0.009978145
115,2.1637633,-0.15288857
116,2.173047,-0.0059804153
117,2.128384,-0.070519716
118,2.0206766,-0.009133359
119,2.159748,-0.104364954
120,2.1642556,0.045140892
121,2.3181458,-0.0813589
122,1.8854711,0.19131419
123,2.0442655,-0.09546001
124,1.8577518,0.015441963
125,1.9538964,0.002586143
126,2.2889864,-0.10727834
127,2.448935,-0.07856467
128,2.3477364,0.121483855
129,2.711629,-0.26053166
130,2.3352122,0.058623157
131,2.256256,0.0738661
132,2.5351293,-0.18762258
133,2.4661202,-0.029217884
134,2.3593462,-0.02941417
135,2.4333854,0.0911079
136,2.3161504,-0.030571276
137,2.2711234,-0.072462834
138,2.6001623,-0.029299758
139,2.6932943,-0.20152524
140,2.5400312,0.05907522
141,2.5388348,0.041574877
142,2.6230595,-0.03810475
143,2.394658,0.04105024
144,2.2556634,-0.0214305
145,2.01746,0.008590281
146,2.148316,-0.07994379
147,2.1171076,0.011240827
148,1.9243302,0.12001769
149,2.1104925,-0.12120523
150,1.800282,0.01008797
151,2.2371495,-0.28123125
152,2.3027987,-0.05355037
153,2.3473303,-0.058458917
154,1.9845269,-0.10232554
155,2.1089828,-0.21938649
156,1.9297833,-0.03923519
157,2.1565313,-0.039604824
158,2.0240092,-0.04341829
159,1.952627,0.0935573
160,2.3205614,-0.1771349
161,2.1205306,-0.005323006
162,2.1981335,-0.09285121
163,2.2555335,-0.2361321
164,2.2434282,-0.2168034
165,1.8805388,0.044679478
166,2.236681,-0.059167728
167,2.5850232,-0.19091164
168,2.3546,-0.13512337
169,2.4264455,-0.04250275
170,2.450914,-0.15718168
171,2.5052016,-0.2131193
172,2.3952022,-0.043587353
173,2.045045,0.074705616
174,2.4261155,-0.3269605
175,2.3904665,-0.1601877
176,2.272427,-0.0667807
177,2.186525,-0.13298646
178,2.4669943,-0.24165508
179,2.2875502,-0.14079599
180,2.0361166,-0.026765477
181,2.3910112,-0.28481477
182,2.2119536,-0.17914543
183,2.1727352,0.007963914
184,2.2423842,-0.090398155
185,2.2354484,-0.34037143
186,2.1928763,-0.19359115
187,2.2710516,-0.06390523
188,2.416744,-0.28196353
189,2.1499166,-0.054592654
190,2.2292295,-0.06480262
191,2.2775118,-0.18421882
192,2.2914267,-0.12642539
193,2.321843,-0.17527533
194,2.3641167,-0.15860122
195,2.86535,-0.17647976
196,2.8702576,-0.08429073
197,2.844764,-0.14057004
198,2.9574494,-0.28184134
199,2.691545,-0.20522004
200,2.768003,-0.22070467
201,2.5015697,-0.32214513
202,2.650402,-0.34100392
203,2.505559,-0.17530724
204,2.8496222,-0.2657435
205,2.632241,-0.20574363
206,2.694613,-0.21035686
207,2.9081223,-0.3653406
208,2.8462186,-0.23984459
209,3.2711885,-0.33960068
210,2.9818168,-0.23065242
211,2.91651,-0.2090561
212,2.7253304,-0.23671204
213,2.8320258,-0.25969815
214,2.5603228,-0.22100714
215,2.5961738,-0.24252957
216,2.5367818,-0.25890565
217,2.5254278,-0.23887175
218,2.660034,-0.25355402
219,2.5724084,-0.14937949
220,2.5624151,-0.3409571
221,2.7275698,-0.19808407
222,2.7040405,-0.25275138
223,2.6670413,-0.19157007
224,2.6908846,-0.29289174
225,2.7067285,-0.14844118
226,2.8528771,-0.31564957
227,2.8523884,-0.28644747
228,2.7589679,-0.28694975
229,2.897562,-0.29858884
230,2.9952517,-0.30452204
231,2.9660182,-0.3264074
232,3.2122157,-0.34696567
233,2.9683447,-0.2077401
234,3.0489564,-0.31099513
235,2.8183296,-0.2627253
236,2.8141546,-0.1943461
237,3.131483,-0.24622172
238,2.9888034,-0.26000994
239,2.7966242,-0.29001105
240,2.7597241,-0.22916067
241,2.8617222,-0.33915806
242,3.0381598,-0.26099786
243,2.8790946,-0.38040426
244,3.187861,-0.34869218
245,3.2141087,-0.516571
246,3.1104426,-0.26390073
247,3.2118623,-0.33079174
248,3.1653953,-0.24154076
249,3.0073922,-0.28340054
250,2.980626,-0.27621257
251,2.8504374,-0.21757375
252,2.9836235,-0.44149566
253,3.0813031,-0.38587415
254,3.0224006,-0.23223038
255,3.11571,-0.4010452
256,3.2800226,-0.37234536
257,3.1406755,-0.3322913
258,2.9816504,-0.40665704
259,3.1449437,-0.32003605
260,3.0346317,-0.4585372
261,2.9413474,-0.2273441
262,2.833054,-0.3133325
263,3.0213294,-0.43827137
264,3.140813,-0.4182093
265,3.2833202,-0.36704847
266,3.1916308,-0.3148953
267,3.1071963,-0.36127347
268,3.0615764,-0.45272815
269,3.1174595,-0.36914825
270,3.1050773,-0.36654127
271,3.2004547,-0.42974275
272,3.0979123,-0.33685124
273,3.1656284,-0.33300212
274,3.211586,-0.38509315
275,3.250681,-0.3091761
276,3.391016,-0.41522303
277,3.416586,-0.4516373
278,3.2213297,-0.37047312
279,3.21109,-0.31583345
280,3.0960286,-0.4012581
281,3.1625085,-0.33031747
282,3.2172985,-0.33101356
283,2.9530678,-0.37523824
284,3.1578894,-0.37748438
285,3.2611206,-0.34203148
286,3.1409402,-0.5123585
287,3.0630164,-0.45042342
288,3.2684333,-0.5234386
289,3.371546,-0.44664747
290,3.52673,-0.33402246
291,3.201745,-0.47440866
292,3.1583955,-0.396605
293,3.014639,-0.31421116
294,3.2042146,-0.369617
295,3.1546712,-0.5237571
296,3.2835991,-0.42489237
297,3.467703,-0.36721787
298,3.3918602,-0.39029717
299,3.3182545,-0.4127525
300,3.204988,-0.37145817
301,3.2192183,-0.52754545
302,3.0806518,-0.506645
303,2.9639714,-0.3845803
304,3.2821507,-0.3805089
305,3.2530756,-0.3914327
306,3.2740393,-0.35737053
307,3.3728986,-0.3608634
308,3.2514417,-0.44541112
309,3.144847,-0.41766778
310,3.227089,-0.44642293
311,3.2633295,-0.5051393
312,3.0319161,-0.3657173
313,3.2159715,-0.3492493
314,2.9587078,-0.49423233
315,3.1092029,-0.34828526
316,3.092269,-0.43287206
317,3.1087675,-0.5317487
318,3.100217,-0.57395554
319,3.4068809,-0.3767876
320,3.5007782,-0.49243072
321,3.2101202,-0.3978062
322,3.2101295,-0.44834876
323,3.3443227,-0.42174286
324,3.5582163,-0.37362748
325,3.529789,-0.39082462
326,3.430557,-0.48113647
327,3.4880083,-0.44078666
328,3.5373983,-0.3255754
329,3.758957,-0.36333412
330,3.4277167,-0.4406339
331,3.5810952,-0.51180625
332,3.6602464,-0.51526546
333,3.8979397,-0.55034643
334,3.955299,-0.45377705
335,3.7430587,-0.4167256
336,3.5886955,-0.40768772
337,3.2988296,-0.5009308
338,3.474553,-0.5224422
339,3.2838726,-0.48977306
340,3.3988123,-0.5084742
341,3.4071374,-0.4797396
342,3.3971388,-0.55666983
343,3.3197613,-0.39612788
344,3.2782903,-0.46904844
345,3.377374,-0.57420015
346,3.2082767,-0.51390517
347,3.2569823,-0.6062002
348,3.2460766,-0.39555317
349,3.1788664,-0.4391802
350,3.4987159,-0.43729496
351,3.28892,-0.5603868
352,3.2954915,-0.6452453
353,3.3900049,-0.525952
354,3.3574955,-0.44047645
355,3.3546748,-0.5208154
356,3.1846447,-0.53254056
357,3.035099,-0.40224242
358,3.301577,-0.44803318
359,3.2510839,-0.43076044
360,3.1124375,-0.5566025
361,3.471045,-0.56153554
362,3.5873642,-0.34914738
363,3.4008033,-0.51333016
364,3.4500024,-0.4940252
365,3.187437,-0.408435
366,3.3112435,-0.48992905
367,3.1264691,-0.46480697
368,3.2910545,-0.5715802
369,3.3943357,-0.52454793
370,3.3889465,-0.56089306
371,3.0033925,-0.43203518
372,3.0881884,-0.50354534
373,3.0996494,-0.44359607
374,3.572878,-0.49140498
375,3.181794,-0.60189253
376,2.9730506,-0.51246315
377,3.1864567,-0.6102799
378,3.0507827,-0.46834242
379,3.03016,-0.4911403
380,3.015964,-0.3599316
381,3.306333,-0.49882835
382,3.2699833,-0.46539778
383,3.069816,-0.49056298
384,3.0757132,-0.44252884
385,3.0181434,-0.4379002
386,2.6940684,-0.3845856
387,2.8893123,-0.583109
388,3.058834,-0.5835066
389,2.9092426,-0.39237046
390,2.8070214,-0.5531632
391,2.8204854,-0.46314564
392,2.975875,-0.582533
393,3.2730534,-0.50598395
394,3.0318706,-0.41328532
395,2.885101,-0.4921118
396,2.8654478,-0.47022784
