,Loss_G,Loss_D
0,0.62481046,0.71363926
1,1.1066768,-0.080005206
2,0.5878125,0.34118992
3,0.8479187,0.14324242
4,1.0588641,0.0084694475
5,0.8030298,0.3366856
6,0.89947104,0.051090103
7,1.0749054,0.009694276
8,1.1520157,0.14582147
9,1.2965528,-0.108876556
10,1.0647428,0.18410003
11,0.8960507,0.25158498
12,1.6063834,-0.19189255
13,1.3783783,0.046815827
14,1.3489518,0.0022213426
15,1.4441867,-0.28476
16,1.0387541,-0.0044884365
17,1.1067301,-0.15988195
18,1.269815,-0.24073036
19,1.0206017,0.2581804
20,1.3974386,0.030586518
21,1.591373,-0.29708874
22,1.6373098,-0.5454782
23,1.3144006,-0.18636233
24,1.0671223,0.2271515
25,1.1683913,0.13297145
26,1.4459856,-0.41759127
27,1.3438278,-0.5403441
28,0.9809583,0.029300187
29,1.3802351,-0.0071197483
30,1.885409,-0.17213641
31,2.167874,-0.5749414
32,1.5623324,-0.31760657
33,1.3729671,0.12717603
34,1.5513148,-0.14401343
35,1.6563115,-0.25857383
36,1.4082266,-0.31079593
37,1.3818755,-0.061277706
38,1.6116645,-0.27174225
39,1.7993336,-0.48143974
40,1.5034169,-0.22065383
41,1.4265375,-0.036489267
42,1.603256,-0.43248785
43,1.5032799,-0.3464824
44,1.4025195,-0.20949957
45,1.5770004,-0.1873188
46,1.6225502,-0.32659703
47,1.6709633,-0.2524579
48,1.7475997,-0.2077631
49,1.7537069,-0.149472
50,1.722754,-0.3212905
51,1.6633779,-0.15340298
52,1.857759,-0.24077927
53,2.0704103,-0.47809553
54,1.8708984,-0.18682231
55,1.7846979,-0.034150455
56,2.0184658,-0.42511714
57,1.7813473,-0.3228587
58,1.7810614,-0.23510991
59,1.766442,-0.22355294
60,1.9211195,-0.2554831
61,1.9598844,-0.27947932
62,2.1131845,-0.21515113
63,2.1118717,-0.2765246
64,2.0502474,-0.2445635
65,2.1283228,-0.26852438
66,2.1167147,-0.22517562
67,2.203177,-0.27457866
68,2.301422,-0.23244984
69,2.1785402,-0.2540595
70,2.1669426,-0.16964135
71,2.2112823,-0.21544138
72,2.46208,-0.37171602
73,2.3724182,-0.21399617
74,2.4191577,-0.28972125
75,2.3655903,-0.2871469
76,2.312886,0.053694773
77,2.2970304,-0.12524416
78,2.4206674,-0.2869751
79,2.2798882,-0.18621095
80,2.549335,-0.36776292
81,2.3661757,-0.21554446
82,2.403638,-0.18126293
83,2.462154,-0.17529851
84,2.4827378,-0.2638806
85,2.4468622,-0.02453293
86,2.539743,-0.15866667
87,2.3364055,-0.25814646
88,2.1864316,-0.027251907
89,2.3521862,-0.019565735
90,2.4634182,-0.18456446
91,2.4545214,-0.06457053
92,2.7390053,-0.11140124
93,2.7669566,-0.1415243
94,2.473045,-0.073070295
95,2.420294,-0.065342635
96,2.3733368,0.009402133
97,2.6456475,-0.07110329
98,2.635797,-0.1560698
99,2.529624,0.0099940915
100,2.3614647,0.016001828
101,2.6024227,-0.17579263
102,2.1389663,-0.025367627
103,2.0981276,0.117491774
104,2.3380609,-0.32549185
105,2.0634718,-0.043150213
106,2.0363503,-0.030362288
107,2.246999,-0.006345865
108,2.1991925,-0.0030449396
109,2.10806,0.081203155
110,2.27635,-0.026871894
111,2.1599145,-0.016034577
112,2.2893744,0.08543864
113,2.5833724,-0.11114604
114,2.5272977,0.082280844
115,2.584682,-0.100643516
116,2.3166826,-0.083336964
117,2.0628233,0.013281615
118,2.340851,0.09665626
119,2.697939,-0.107332826
120,2.370688,0.046563
121,2.6087935,-0.035040367
122,2.5537937,-0.20361912
123,2.360975,-0.04931615
124,2.5487916,0.032484014
125,2.8875182,-0.1405635
126,2.538207,-0.004275158
127,2.5096815,0.03584616
128,2.664561,-0.04883193
129,2.3658504,-0.0584703
130,2.089497,0.074861065
131,2.542744,-0.10453701
132,2.4032736,-0.21150213
133,2.1491075,0.03655893
134,2.517593,-0.20038565
135,2.3436666,-0.046156198
136,2.3507032,-0.06302311
137,2.3158355,-0.2285267
138,2.477122,-0.1207117
139,2.110983,0.025744103
140,2.2215943,0.0073279045
141,2.2727134,-0.19803162
142,2.0837898,0.13327803
143,2.2179449,0.014497327
144,2.1153553,-0.13500738
145,2.1791236,-0.114704
146,2.1693635,-0.15017822
147,2.3204832,-0.28121296
148,2.4107628,-0.08389527
149,2.2006712,-0.039906994
150,2.1661465,-0.053332582
151,2.2252152,-0.09795722
152,2.0125377,-0.019675953
153,2.1373196,-0.023099063
154,2.189342,-0.01992482
155,2.1593661,-0.19412825
156,2.36209,-0.23877794
157,2.4168112,-0.098817565
158,2.68045,-0.22933595
159,2.7456622,-0.09822104
160,2.53482,-0.11380013
161,2.66429,-0.03653369
162,2.5550566,-0.07302601
163,2.8597848,-0.1805905
164,2.7518723,-0.1305452
165,2.8484225,-0.102507286
166,2.5864918,-0.14680614
167,2.5612755,-0.19686371
168,2.437044,0.0034012347
169,2.5346575,-0.13872829
170,2.6646407,-0.17014173
171,2.6911516,-0.10616152
172,2.777719,-0.2211464
173,2.7264922,-0.11176491
174,2.79324,-0.099216074
175,3.0615103,-0.18506765
176,2.8840208,-0.1647238
177,2.9334707,-0.14207305
178,2.8606627,-0.08909884
179,2.718582,-0.09830511
180,2.6863873,-0.0053624297
181,2.947235,-0.19212466
182,2.72108,-0.11671551
183,2.7635794,-0.07640974
184,2.7993248,-0.25407588
185,2.8018298,0.06588401
186,2.7668138,-0.13449876
187,2.9028747,-0.12635715
188,3.2797282,-0.26038748
189,3.3415153,-0.29358828
190,3.0874789,-0.21486542
191,2.8963082,-0.10683376
192,3.1171107,-0.18136783
193,3.204683,-0.16056855
194,3.1237037,-0.07952789
195,3.1961675,-0.1272161
196,3.1766748,-0.16668105
197,3.0630713,-0.1307934
198,3.1011412,-0.14808445
199,3.0305011,-0.2460838
200,2.9609828,-0.16165404
201,3.0221395,-0.18810266
202,2.8964605,-0.2949002
203,3.0650303,-0.3630458
204,2.9982185,-0.25426602
205,3.0703242,-0.2551161
206,3.0614877,-0.095838405
207,3.02661,-0.27243993
208,2.8779595,-0.11387649
209,3.0075164,-0.2299413
210,2.7512958,-0.19745213
211,2.7515953,-0.2016548
212,2.8697047,-0.14471942
213,3.182733,-0.32661286
214,3.0520215,-0.18276688
215,2.9906216,-0.23937996
216,3.1572623,-0.25198075
217,3.1390946,-0.31364575
218,2.9050887,-0.19246411
219,2.7144194,-0.18096761
